Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,42.95,2302,1787,18,2.38611111,Conversas por mensagem iniciadas,3,14.31666667,2026-08-22,2026-08-22,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,44,2241,1702,32,1.375,Conversas por mensagem iniciadas,5,8.8,2026-08-22,2026-08-22,
[AGO]_[SN]_Card_Condição - Lote,2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,18.8,681,563,7,2.68571429,Conversas por mensagem iniciadas,1,18.8,2026-08-21,2026-08-21,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,59.53,3581,2678,32,1.8603125,Conversas por mensagem iniciadas,3,19.84333333,2026-08-21,2026-08-21,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,62.25,3111,2283,47,1.32446809,Conversas por mensagem iniciadas,4,15.5625,2026-08-21,2026-08-21,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,10.11,608,516,11,0.91909091,Conversas por mensagem iniciadas,1,10.11,2026-08-21,2026-08-21,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-21,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.56,259,219,4,3.39,,,,2026-08-21,2026-08-21,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,64.67,3269,2543,58,1.115,Conversas por mensagem iniciadas,7,9.23857143,2026-08-20,2026-08-20,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,60.12,3912,2912,34,1.76823529,Conversas por mensagem iniciadas,6,10.02,2026-08-20,2026-08-20,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.39,506,470,3,3.13,,,,2026-08-20,2026-08-20,
